iv_3030bc71	IV2603-060			2026-03-09	43843.25	paid						00902024	Warehouse Service Center (2024)	00364	เทศบาลตำบลกลางหมื่น	2026-03-09	WTP	เขต 7	1.โครงการที่รับเงินวันนี้	2026-05-21	18.05.2026 รับเช็คแล้ว รอฝากเช็ค(พี่คิว)	AR2603-061	100	2024
iv_bff42522	IV2604-022	INS060-PL		2026-04-22	2160000	pending						01902026	บ้านป่าลัน ม.5 ต.ปงน้อย อ.ดอยหลวง จ.เชียงราย (6901-01)	00506	องค์การบริหารส่วนตำบลปงน้อย	2026-04-22	LIT	Innovatech	2.ประมาณการรับภายในสัปดาห์นี้		18.05.2026 เช็คออกแล้ว เข้ารับเช็ค 20.05 / คุณกุ้ง 082-9329491	AR2604-025	1	6901-01
iv_68e18789	IV2604-021	TWC008-PL		2026-04-21	2159200	pending						02002026	บ้านหนองไฮ ม.5 ต.นนทรี อ.กบินทร์บุรี จ.ปราจีนบุรี (6901-01)	00827	องค์การบริหารส่วนตำบลนนทรี	2026-04-21	STS	เขต 7	3.ประมาณการรับสัปดาห์หน้า		15.05.2026 ส่งเอกสารเพิ่มเติมให้จังหวัดแล้ว รอตรวจสอบ / คุณนภา 091-9292295	AR2604-021	1	6901-01
iv_ac05a736	IV2605-010	PP064-STIIS		2026-05-08	4913475	pending						16602025	บ้านพรุกง ม.2 ต.วังใหญ่ อ.เทพา จ.สงขลา (6901-01)	00125	องค์การบริหารส่วนตำบลวังใหญ่	2026-05-08		Pinpoint	4.1.โครงการที่รอใบตรวจรับ		15.05.2026 ส่งมอบงานงวดที่ 2 (รอใบตรวจรับงาน)	AR2605-010	2	6901-01
iv_56b375f8	IV2605-011	ENC168-PL		2026-05-14	3755500	pending						02102026	ที่ทำการองค์การบริหารส่วนตำบลวิเชตนคร ม.1 ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง (6901-01)	00824	องค์การบริหารส่วนตำบลวิเชตนคร	2026-05-14		EN connect	4.1.โครงการที่รอใบตรวจรับ		15.05.2026 ส่งมอบงานงวดที่ 2 (รอใบตรวจรับงาน)	AR2605-011	2	6901-01
iv_b9680bbf	IV2605-005	PP068-PL		2026-05-06	4581500	pending						18002025	บ้านฮูแตแนแต ม.1 ต.ท่าธง อ.รามัน จ.ยะลา (6802-01)	00911	ที่ทำการปกครองอำเภอรามัน	2026-05-06	FUNDING	Pinpoint	4.1.โครงการที่รอใบตรวจรับ		23.04.2026 ส่งมอบงานงวดเดียว 100% (รอใบตรวจรับงาน)	AR2605-005	100	6802-01
iv_1a59d128	IV2605-006	PP069-PL		2026-05-06	4581500	pending						18102025	บ้านจะรังตาดง ม.2 ต.ท่าธง อ.รามัน จ.ยะลา (6802-01)	00911	ที่ทำการปกครองอำเภอรามัน	2026-05-06	FUNDING	Pinpoint	4.1.โครงการที่รอใบตรวจรับ		23.04.2026 ส่งมอบงานงวดเดียว 100% (รอใบตรวจรับงาน)	AR2605-006	100	6802-01
iv_148d7c9c	IV2605-007	PP074-PL		2026-05-06	2160000	pending						01602026	บ้านบ่อนางชี ม.11 ต.โคกสัก อ.บางแก้ว จ.พัทลุง (6901-01)	00921	องค์การบริหารส่วนตำบลโคกสัก	2026-05-06		Pinpoint	4.1.โครงการที่รอใบตรวจรับ		08.05.2026 ส่งมอบงานงวดที่ 1 (รอใบตรวจรับงาน)	AR2605-007	1	6901-01
iv_04aad9ba	IV2603-031	STR067-PL		2026-03-11	5395000	pending						14602025	ม.1 ต.หนองชุมพล อ.เขาย้อย จ.เพชรบุรี (6802-01)	00901	ที่ทำการปกครองอำเภอเขาย้อย	2026-03-11	LIT	STR	4.1.โครงการที่รอใบตรวจรับ		12.03.2026 ส่งมอบงานงวดเดียว 100% (รอใบตรวจรับงาน)	AR2603-031	100	6802-01
iv_9969a609	IV2604-023	ENC168-PL		2026-04-27	1609500	pending						02102026	ที่ทำการองค์การบริหารส่วนตำบลวิเชตนคร ม.1 ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง (6901-01)	00824	องค์การบริหารส่วนตำบลวิเชตนคร	2026-04-27		EN connect	4.โครงการที่ต้องติดตามและมีปัญหา		19.05.2026 เอกสารส่งเบิกจังหวัดแล้ว รอตรวจสอบ	AR2604-027	1	6901-01
iv_bfd544df	IV2605-008	ENC171-PDH		2026-05-11	1299500	pending						02802026	บริเวณศูนย์พัฒนาเด็กเล็กเทศบาลตำบลบ้านเพชรภูเขียว ม.8 ต.บ้านเพชร อ.ภูเขียว จ.ชัยภูมิ (6801-01)	00910	เทศบาลตำบลบ้านเพชรภูเขียว	2026-05-11		EN connect	4.โครงการที่ต้องติดตามและมีปัญหา		20.05.2026 ได้ใบตรวจรับงานงวดเดียว 100%	AR2605-008	100	6801-01
iv_23b58fa8	IV2604-025	PP062-PL		2026-04-28	3240000	pending						16202025	บ้านทองหลาง ม.3 ต.บ้านนา อ.กะเปอร์ จ.ระนอง (6901-01)	00905	องค์การบริหารส่วนตำบลบ้านนา	2026-04-28	LIT	Pinpoint	4.โครงการที่ต้องติดตามและมีปัญหา		20.05.2026 ได้ใบตรวจรับงานงวดที่ 2	AR2604-030	2	6901-01
